OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
10008,Atlantic Ocean,,,Grab sample,0.02,pieces/m3,0.005-1,Medium,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,-58.4283,-64.164,2/3/2017 12:00:00 AM,1e5b8e71-037b-4887-a276-f1e4552acb1f,-64.164,-58.4283
8680,Atlantic Ocean,,,Grab sample,0.008,pieces/m3,0.005-1,Medium,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,-51.3082,-60.5467,11/17/2013 12:00:00 AM,a40f7f7c-1025-4aac-ad16-ee4cba196870,-60.5467,-51.3081999999999
13257,Pacific Ocean,,,Manta net,0.019886,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,-51.826667,-72.575,12/26/2015 12:00:00 AM,febf79b8-7e2c-46e6-bc15-e08492ec2029,-72.575,-51.826667
9676,Atlantic Ocean,,,Grab sample,0.018,pieces/m3,0.005-1,Medium,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,-31.696,-48.56,8/11/2015 12:00:00 AM,a77121b2-e113-444e-82d9-7af11d62fdd2,-48.5599999999999,-31.696
6427,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,6.35,-121.85,12/18/2002 12:00:00 AM,be27c450-02ca-4261-8d89-cae21108e6cc,-121.85,6.35000000000002
10672,Pacific Ocean,,,Manta net,0.013,pieces/m3,0.005-1,Medium,Goldstein et al.2013,"Goldstein, M.C., A.J. Titmus, M. Ford. 2013. Scales of Spatial Heterogeneity of Plastic Marine Debris in the Northeast Pacific Ocean. PLoS ONE 8(11): e80020.",https://doi.org/10.1371/journal.pone.0080020,Scripps Institution of Oceanography-University of California San Diego,Great Pacific Garbage Patch/SEAPLEX,253448,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0253448,0.5,-95.35,10/17/2006 12:00:00 AM,23effcdd-35b7-4e1e-adb4-390693a287d3,-95.35,0.500000000000057
14917,Atlantic Ocean,,,Megacorer,0,pieces kg-1 d.w.,0-2,Very Low,Courtene-Jones et al. 2020,"Courtene-Jones, W., B. Quinn, C. Ewins, S. F. Gary, B. E. Narayanaswamy. 2020. Microplastic accumulation in deep-sea sediments from the Rockall Trough. Marine Pollution Bulletin 154, 111092. https://doi.org/10.1016/j.marpolbul.2020.111092.",https://doi.org/10.1016/j.marpolbul.2020.111092,"Scottish Marine Institute, Scotland, United Kingdom","Rockall Trough, Scotland",278002,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278002,57.298,-10.374833,5/18/2017 12:00:00 AM,d0cc8862-2466-431e-83ac-96603f4faf78,-10.374833,57.2980000000001
14182,Atlantic Ocean,Inner Seas off the West Coast of Scotland,,Neuston net,0,pieces/m3,0-0.0005,Very Low,"Russell and Webster, 2021","Russell, M., L. Webster. 2021. Microplastics in sea surface waters around Scotland. Marine Pollution Bulletin 166, 112210. https://doi.org/10.1016/j.marpolbul.2021.112210",https://doi.org/10.1016/j.marpolbul.2021.112210,Marine Scotland Science,MRV Scotia/MRV Alba na Mara /RV Sir John Murray,259692,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259692,55.997,-4.888,11/13/2018 12:00:00 AM,593d969a-de44-4621-87f7-c1b87d023d44,-4.88799999999998,55.9970000000001
2514,Atlantic Ocean,,,Neuston net,0.00648,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,40.21,-68.1,7/20/1989 12:00:00 AM,89e16a0e-444c-4d8e-97d3-630f168805bd,-68.1,40.21
190,Atlantic Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,37.47,-66.97,10/14/1991 12:00:00 AM,c49518f5-74e6-4bba-bf7b-53a133d39bac,-66.97,37.47
13589,Atlantic Ocean,,,Manta net,0.138471,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,38.617833,-20.686667,6/13/2019 12:00:00 AM,4c3839c2-e3d6-41fc-bd82-8544d8d95ab8,-20.6866669999999,38.6178330000001
2111,Atlantic Ocean,,,Neuston net,0.009968,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,43.11,-64.37,6/9/2001 12:00:00 AM,80c33a21-2854-4e98-a104-19c362fbea02,-64.3699999999999,43.1100000000001
5431,Atlantic Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,43.61,-67,6/6/2005 12:00:00 AM,1d53e726-69bb-4bcb-9809-58dc1499be5a,-66.9999999999999,43.6100000000001
14253,Atlantic Ocean,North Sea,,Neuston net,0.004425,pieces/m3,0.0005-0.005,Low,"Russell and Webster, 2021","Russell, M., L. Webster. 2021. Microplastics in sea surface waters around Scotland. Marine Pollution Bulletin 166, 112210. https://doi.org/10.1016/j.marpolbul.2021.112210",https://doi.org/10.1016/j.marpolbul.2021.112210,Marine Scotland Science,MRV Scotia/MRV Alba na Mara /RV Sir John Murray,259692,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259692,58.034333,-3.627833,1/18/2019 12:00:00 AM,8f5b8816-6e22-46b0-ba41-6aac40dcc072,-3.62783299999995,58.0343330000001
2846,Atlantic Ocean,,,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,32.67,-64.48,5/13/1992 12:00:00 AM,da2c5e59-606e-4757-b902-6e3e1afbab53,-64.48,32.6700000000001
6095,Atlantic Ocean,New York Bight,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,39.69,-72.06,9/3/2008 12:00:00 AM,4a355c72-7c5c-4aa4-b9f7-c49dbb9c1dfd,-72.0599999999999,39.6900000000001
4103,Atlantic Ocean,,,Neuston net,0.003088,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,41.05,-70.67,6/24/1998 12:00:00 AM,2eafa8bf-6e90-47d6-b245-6b944d660d34,-70.67,41.0500000000001
1186,Atlantic Ocean,,,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,41.49,-70.9,7/5/1996 12:00:00 AM,23b1aedf-c509-4bde-a55f-53861a83cc27,-70.9,41.4900000000001
3439,Atlantic Ocean,,,Neuston net,0.01296,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,40.06,-71.16,7/10/1995 12:00:00 AM,2a90fb86-e14f-47f6-a16f-80be8738a293,-71.16,40.0600000000001
4767,Atlantic Ocean,,,Neuston net,0.0048,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,39.84,-68.3,9/6/2001 12:00:00 AM,0005a323-e709-4f6d-99dc-e24e50cca89b,-68.3,39.84
18759,,,,Hand picking,,pieces/10 mins,40-200,High,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,32.6472,-97.3064,11/14/2020 12:00:00 AM,693b8840-1784-4879-88ea-139dc8feda0b,-97.3063999999999,32.6472000000001
19755,Atlantic Ocean,,,Hand picking,,pieces/10 mins,0,Very Low,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,34.5198,-77.359,7/14/2021 12:00:00 AM,5d5cd047-a18b-4fc7-9325-b1f1abc3855e,-77.359,34.5198
17834,Atlantic Ocean,,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,32.7933,-79.8779,2/11/2020 12:00:00 AM,1837973d-f572-44a7-a523-524800d876fc,-79.8779,32.7933
20419,Atlantic Ocean,,,Hand picking,,pieces/10 mins,40-200,High,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,32.8695,-79.9656,11/23/2021 12:00:00 AM,a49d9058-6385-435e-8b75-96040e7425f0,-79.9655999999999,32.8695000000001
1779,Atlantic Ocean,,,Neuston net,0.01944,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,31.89,-71.22,4/8/2000 12:00:00 AM,5c6f7eb0-4481-4df7-89b0-e756d6617ded,-71.22,31.89
1850,Atlantic Ocean,,,Neuston net,0.047516,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,32.14,-64.73,6/7/2000 12:00:00 AM,f27e0bb9-b620-46ba-a8ce-dffea4dda8c6,-64.73,32.14
3771,Atlantic Ocean,,,Neuston net,0.00864,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,24.28,-82.18,1/9/1997 12:00:00 AM,a03a4575-d58f-4a7c-be2a-e29b20a3bd48,-82.1799999999999,24.28
1518,Atlantic Ocean,,,Neuston net,0.01296,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,21.84,-59.34,10/31/1998 12:00:00 AM,339f38c7-a32a-46e1-8492-29c9a7c41898,-59.34,21.84
6024,Atlantic Ocean,,,Neuston net,0.00648,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,20.18,-70.07,4/14/2008 12:00:00 AM,95612c00-3685-44ea-9ea6-96874e7adc08,-70.0699999999999,20.1800000000001
9012,Atlantic Ocean,,,Grab sample,0,pieces/m3,0-0.0005,Very Low,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,25.38,-18.59,11/26/2014 12:00:00 AM,c2a7dd33-3864-4ea7-9f04-874bea374520,-18.59,25.3800000000001
14585,Atlantic Ocean,,,Intake seawater pump,0.5,pieces/m3,0.005-1,Medium,Kanhai et al. 2017,"Kanhai, La D. K., R. Officer, O. Lyashevska, R. C. Thompson, I. O'Connor. 2017. Microplastic abundance, distribution and composition along a latitudinal gradient in the Atlantic Ocean. Marine Pollution Bulletin 115, 307-314. http://dx.doi.org/10.1016/j.marpolbul.2016.12.025",http://dx.doi.org/10.1016/j.marpolbul.2016.12.025,"Galway Mayo Institute of Technology, Ireland",RV Polarstern; Latitudinal gradient ,270542,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:270542,25.164051,-18.900932,11/11/2015 12:00:00 AM,0650bded-8a77-457c-9d1d-90a00b4b1304,-18.900932,25.164051
19423,Atlantic Ocean,,,Hand picking,,pieces/10 mins,40-200,High,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,39.6528,-75.5824,4/17/2021 12:00:00 AM,d235b645-b1c1-49ea-9609-6fbdbbbc300f,-75.5824,39.6528000000001
17502,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,29.3148,-94.7527,12/8/2019 12:00:00 AM,985872ab-a5e0-40d3-98a6-6a43532394ce,-94.7526999999999,29.3148
16174,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,27.8153,-97.0647,4/20/2019 12:00:00 AM,162daaed-a6a7-45ef-9f7f-37b1af4f9350,-97.0647,27.8153
18498,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,27.9324,-96.9827,8/28/2020 12:00:00 AM,d78fcba9-6a8e-4021-8b7e-68c0d915293b,-96.9827,27.9324
16838,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,27.6295,-97.1968,9/21/2019 12:00:00 AM,5eb7e66f-e8e8-41ea-bbe6-3e7d4a39ee58,-97.1967999999999,27.6295000000001
15842,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,40-200,High,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,26.1893,-97.1756,2/17/2019 12:00:00 AM,2743f49d-beff-4d7c-be0b-171e34f8f924,-97.1756,26.1893000000001
15249,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,2115.655853,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,20.974583,-97.3069,4/12/2018 12:00:00 AM,28614d4b-c59f-4a38-80e8-7abb8f1e4300,-97.3069,20.9745830000001
19091,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,0,Very Low,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,29.1252,-95.0622,2/7/2021 12:00:00 AM,aefd382f-1688-4e53-848a-ecf6d392cbae,-95.0622,29.1252000000001
19162,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,28.997,-95.2273,2/28/2021 12:00:00 AM,245b4624-3c14-493e-8df7-0045568c6011,-95.2273,28.9970000000001
21415,Atlantic Ocean,Gulf of Mexico,,Hand picking,,pieces/10 mins,2-40,Medium,Tunnell et al. 2020,"Tunnell, Jace W.; Dunning, Kelly H.; Scheef, Lindsay P.; Swanson, Kathleen M. 2020. Measuring plastic pellet (nurdle) abundance on shorelines throughout the Gulf of Mexico using citizen scientists: Establishing a platform for policy relevant research. Marine Pollution Bulletin, 151, 110794. https://doi.org/10.1016/j.marpolbul.2019.110794",https://doi.org/10.1016/j.marpolbul.2019.110794,University of Texas Marine Science Institute,Nurdle Patrol,259486,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0259486,29.3359,-94.7354,5/30/2022 12:00:00 AM,a284f6a1-6223-411a-956d-12d11d496f40,-94.7354,29.3359
